POB11,POB14,POB21,POB23,DISC1,DISC7,DISC8,DISC9,DISC10,DISC11,DISC12,DISC13
-6.0,6.0,8.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,34.0,98.0,9.0,3.0,-6.0,-6.0,-6.0,0.0,-6.0,-6.0,4.0
12.0,15.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
5.0,6.0,11.0,-6.0,-6.0,0.0,0.0,-6.0,-6.0,0.0,0.0,0.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
9.0,19.0,30.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
31.0,43.0,72.0,-6.0,4.0,-6.0,0.0,3.0,0.0,4.0,-6.0,0.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
3.0,-6.0,15.0,8.0,-6.0,-6.0,0.0,0.0,0.0,-6.0,0.0,0.0
13.0,15.0,43.0,12.0,5.0,-6.0,-6.0,-6.0,-6.0,-6.0,0.0,0.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
11.0,17.0,43.0,12.0,3.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,0.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
3.0,5.0,18.0,9.0,3.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,0.0
7.0,5.0,37.0,13.0,6.0,-6.0,4.0,-6.0,-6.0,-6.0,-6.0,4.0
11.0,8.0,28.0,8.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,-6.0
3.0,10.0,15.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
4.0,6.0,16.0,4.0,-6.0,0.0,-6.0,0.0,0.0,0.0,0.0,-6.0
22.0,12.0,43.0,6.0,-6.0,0.0,-6.0,0.0,0.0,0.0,0.0,-6.0
13.0,13.0,38.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
